Adverb,Adverb Type,Degree of Influence
abnormally,Manner,-1
aboard,Place,0
about,Place,0
abroad,Place,0
absentmindedly,Manner,-1
absolutely,Degree,2
absurdly,Evaluative,-1
abundantly,Degree,1
accidentally,Manner,-1
accordingly,Linking,1
accurately,Manner,1
acidly,Manner,-1
actively,Manner,1
actually,Viewpoint,0
acutely,Manner,1
admiringly,Manner,1
adventurously,Manner,1
affectionately,Manner,1
affirmatively,Manner,1
after,Time,0
afterwards,Time,0
agreeably,Manner,1
almost,Degree,1
alone,Manner,-1
already,Time,0
always,Time,2
amazingly,Manner/Evaluative,1
angrily,Manner,-1
annoyingly,Manner/Evaluative,-1
annually,Time,-1
anxiously,Manner,-1
anyhow,Manner/Linking,0
anyplace,Place,0
anyway,Manner/Linking,0
anywhere,Place,0
apparently,Viewpoint,0
appreciably,Manner,1
appropriately,Manner/Evaluative,1
around,Place,0
arrogantly,Manner,-1
aside,Place,0
assuredly,Viewpoint,1
astonishingly,Manner,1
away,Place,0
awfully,Degree,-1
awkwardly,Manner,-1
back,Place,0
badly,Manner/Degree,-1
barely,Degree,-1
bashfully,Manner,0
beautifully,Manner,1
before,Time,0
begrudgingly,Manner,-1
believably,Manner,1
better,Degree,1
bewilderedly,Manner,-1
bewilderingly,Evaluative,-1
bitterly,Manner,-1
bleakly,Manner,-1
blindly,Manner,-1
blissfully,Manner,1
boastfully,Manner,-1
boldly,Manner,1
boyishly,Manner,0
bravely,Manner,1
briefly,Time,0
brightly,Manner,1
brilliantly,Manner,1
briskly,Manner,0
broadly,Manner,0
brutally,Manner,-1
busily,Manner,0
calmly,Manner,0
candidly,Manner,0
carefully,Manner,0
carelessly,Manner,-1
casually,Manner,0
cautiously,Manner,0
certainly,Viewpoint,0
charmingly,Manner,1
cheap,Manner,0
cheerfully,Manner,1
chiefly,Focusing,0
childishly,Manner,-1
cleanly,Manner,1
clearly,Focusing,0
cleverly,Manner,1
close,Place,0
closely,Manner,0
cloudily,Manner,0
clumsily,Manner,-1
coaxingly,Manner,0
coincidentally,Manner,0
coldly,Manner,-1
colorfully,Manner,1
comfortably,Manner,1
commonly,Frequency,1
compactly,Manner,0
compassionately,Manner,1
completely,Degree,2
conceivably,Viewpoint,1
confusedly,Manner,-1
consequently,Linking,0
considerably,Degree,1
considerately,Manner,1
consistently,Manner,0
constantly,Frequency,2
continually,Frequency,2
continuously,Frequency,2
conversely,Linking,-2
coolly,Manner,-1
correctly,Manner,2
courageously,Manner,1
covertly,Manner,0
cowardly,Manner,-1
crazily,Manner,-1
crossly,Manner,-1
cruelly,Manner,-2
cunningly,Manner,0
curiously,Manner/Evaluative,0
currently,Time,0
customarily,Manner/Frequency,0
cutely,Manner,1
daily,Frequency,0
daintily,Manner,0
dangerously,Manner,-1
daringly,Manner,0
darkly,Manner,-1
dastardly,Manner,-1
dearly,Manner,1
deceivingly,Manner,-1
decently,Manner,0
decidedly,Viewpoint,0
deep,Degree,-1
deeply,Degree,-1
defiantly,Manner,-1
definitely,Viewpoint,2
deftly,Manner,0
deliberately,Manner,0
delicately,Manner,0
delightfully,Manner,1
densely,Manner,0
diagonally,Manner,0
differently,Manner,0
diligently,Manner,0
dimly,Manner,0
direct,Manner,0
directly,Manner,0
disappointingly,Manner/Evaluative,-1
disorderly,Manner,-1
divisively,Manner,-1
docilely,Manner,1
dopily,Manner,-1
double,Manner,0
doubtfully,Manner,-1
down,Place,-1
dramatically,Manner,0
dreamily,Manner,0
eagerly,Manner,0
early,Time,-1
earnestly,Manner,0
easily,Manner,1
economically,Viewpoint,0
efficiently,Manner,1
effortlessly,Manner,1
elaborately,Manner,-1
elegantly,Manner,1
eloquently,Manner,1
elsewhere,Place,0
emotionally,Manner,0
endlessly,Manner,2
energetically,Manner,1
enjoyably,Manner,1
enormously,Degree,2
enough,Degree,0
enthusiastically,Manner,1
entirely,Degree,2
equally,Manner/Degree/Linking,0
especially,Focusing,2
essentially,Manner,0
eternally,Frequency,2
ethically,Manner,1
even,Degree,0
evenly,Manner,0
eventually,Time,0
evermore,Time/Frequency,2
everywhere,Place,2
evidently,Viewpoint,0
evocatively,Manner,0
exactly,Manner/Focusing,0
exceedingly,Degree,2
exceptionally,Degree,2
excitedly,Manner,1
exclusively,Focusing,0
expertly,Manner,1
explicitly,Manner,0
expressly,Manner,0
extensively,Manner/Degree,2
externally,Place,0
extra,Degree,1
extraordinarily,Manner,1
extremely,Degree,1
fair,Manner,0
fairly,Manner/Degree,1
faithfully,Manner,0
famously,Manner,1
far,Place/Degree,1
fashionably,Manner,1
fast,Manner,1
fatally,Manner,-1
favorably,Manner,1
ferociously,Manner,-1
fervently,Manner,0
fiercely,Manner,-1
fiery,Manner,0
finally,Time,0
financially,Manner,0
finitely,Manner,0
fluently,Manner,1
fondly,Manner,1
foolishly,Manner,-1
forever,Time/Frequency,2
formally,Manner,0
formerly,Manner,0
fortunately,Manner/Evaluative,1
forward,Place,0
frankly,Manner/Viewpoint,0
frantically,Manner,-1
freely,Manner,1
frenetically,Manner,-1
frequently,Frequency,1
frightfully,Manner,-1
fully,Manner/Degree,2
funnily,Manner/Evaluative,1
furiously,Manner,-1
furthermore,Linking,0
generally,Focusing,0
generously,Manner,1
gently,Manner,0
genuinely,Manner,1
girlishly,Manner,0
gladly,Manner,1
gleefully,Manner,1
gracefully,Manner,1
graciously,Manner,1
gradually,Manner,0
gratefully,Manner,1
greatly,Degree,1
greedily,Manner,-1
grimly,Manner,-1
grudgingly,Manner,-1
habitually,Manner/Frequency,0
half-heartedly,Manner,-1
handily,Manner,0
handsomely,Manner,1
haphazardly,Manner,-1
happily,Manner/Evaluative,1
hard,Manner,-1
harmoniously,Manner,1
harshly,Manner,-1
hastily,Manner,-1
hatefully,Manner,-1
hauntingly,Manner,-1
healthily,Manner,1
heartily,Manner,1
heavily,Manner,0
helpfully,Manner,1
helplessly,Manner,-1
hence,Time/Linking,0
high,Manner/Place,1
highly,Degree,1
hitherto,Time,0
honestly,Viewpoint,1
hopelessly,Manner,-1
horizontally,Manner,0
hourly,Manner/Frequency,0
how,Manner/Degree,0
however,Linking,0
hugely,Degree,1
humorously,Manner,1
hungrily,Manner,-1
hurriedly,Manner,-1
hysterically,Manner,-1
icily,Manner,-1
identifiably,Manner,0
idiotically,Manner,-1
ill,Manner,-1
imaginatively,Manner,1
immeasurably,Manner,0
immediately,Time,0
immensely,Degree,1
impatiently,Manner,-1
impressively,Manner,1
inappropriately,Manner,-1
incessantly,Manner/Frequency,-1
incorrectly,Manner,-1
indeed,Viewpoint,1
independently,Manner,0
indoors,Place,0
indubitably,Manner,0
inevitably,Manner,-1
infinitely,Manner,2
informally,Manner,-1
infrequently,Frequency,-1
innocently,Manner,1
inquisitively,Manner,0
instantly,Time,0
intelligently,Manner,1
intensely,Manner,0
intently,Manner,0
interestingly,Manner,0
intermittently,Frequency,-1
internally,Place,0
invariably,Manner,0
invisibly,Manner,0
inwardly,Manner,0
ironically,Manner,0
irrefutably,Manner,0
irritably,Manner,-1
jaggedly,Manner,-1
jauntily,Manner,0
jealously,Manner,-1
joshingly,Manner,0
jovially,Manner,1
joyfully,Manner,1
joylessly,Manner,-1
joyously,Manner,1
jubilantly,Manner,1
judgmentally,Manner,-1
just,Focusing,1
justly,Manner,1
keenly,Manner,0
kiddingly,Manner,0
