Word 1	Word 2+	Def 1	Def 2	
act	out	misbehave		
act	up	misbehave		
acted	out	misbehave		
acted	up	misbehave		
acting	out	misbehave		
acting	up	misbehave		
acts	up	misbehave		
add	up	figure out		
add	up	put together		
add	up to	amalgamate		
added	up	seemed		
adding	up	seems		
adds	up	seems		
around	to	do		
ask	around	inquire		
ask	away	ask		
asked	around	inquire		
asking	around	inquire		
back	* up	reverse	reinforce	
back	away	retreat		
back	down	retreat	concede	
back	off	retreat		
back	out	withdraw		
back	out of	withdraw		
back	up	move back	reinforce	
backed	away	move back		
backed	down	retreated	conceded	
backed	off	withdraw		
backed	up	reverse	reinforced	
backing	away	withdraw		
backing	down	retreating	conceding	
backing	off	retreating		
backing	up	retreating	reinforcing	
backs	away	retreats		
backs	down	retreats	concedes	
backs	off	withdraws		
backs	up	retreats	concedes	
bandaged	up	wrapped		
bandied	about	go back and forth	circulate freely	
bang	out	finish		
banged	down	assailed		
banged	out	finished		
banged	up	damaged		
banging	away	hitting		
banging	out	finishing		
bangs	out	hits		
barked	out	yelled		
barking	out	yelling		
barks	out	yells		
bat	around	hit		
batted	around	hit		
bawl	* out	bawl		
be	along	coming		
bear	down	strain		
bear	down on	burden		
bear	on	burden		
bear	up	bear		
bear	up under	bear		
bear	with	deal		
bearing	down	straining		
bears	down	strains		
beat	down	drained	assailed	
beat	out	prevail		
beat	up	assault		
beaten	down	assailed		
beaten	out	prevail		
beaten	up	assault		
beating	down	assails		
beating	out	prevailing		
beating	up	assaulting		
beats	down	assults		
beats	out	prevails		
beats	up	assaults		
bedded	down	slept		
bedding	down	sleeping		
been	around	seen		
been	down	saddened		
began	to	started		
belched	out	burped		
belt	out	sing		
belted	out	sung		
belting	out	singing		
belts	out	sings		
billowed	out	spilled		
billowing	out	spilling		
billows	out	spills		
bit	out	bit		
bite	off	chew		
bite	out	bites		
bites	off	chews		
bites	out	bites		
biting	off	chewing		
bitten	off	chewed		
black	out	darken	forget	
blacked	out	darkened	forgot	
blacking	out	darkening	forgetting	
blacks	out	darkens	forgets	
blank	out	forget		
blanked	out	forgot		
blast	away	blast		
blast	off	explode		
blast	out	expose		
blasted	away	blasted		
blasted	off	exploded		
blasted	out	exposed		
blasting	away	blasting		
blasting	off	expolding		
blasting	out	exposing		
blasts	away	blasts		
blasts	off	explodes		
blasts	out	exposes		
blazing	away	flaming		
bleached	out	whitened		
bled	out	died		
bleed	out	dying		
bleeding	out	dying		
blew	apart	destroyed		
blew	away	annihilated		
blew	off	ignored		
blew	out	extiguished		
blew	up	inflated	destroyed	
block	off	obstruct		
block	out	forgot	map	
block	up	enclose		
blocked	off	obstructed		
blocked	out	forgot	map	
blocked	up	enclosed		
blocking	off	obstructing		
blocking	out	forgetting	mapping	
blocks	off	obstructs		
blocks	out	forgets	maps	
blocks	up	encloses		
blot	out	dab		
blots	out	dabs		
blotted	out	dabbed		
blotting	out	dabbing		
blow	* up	destroy		
blow	away	impress		
blow	in	blow		
blow	off	ignore		
blow	out	extinguish		
blow	over	pass		
blow	up	inflate	destroy	
blow	apart	destroy		
blowing	away	impressing		
blowing	off	ignoring		
blowing	out	extinguishing		
blowing	up	inflating	destroying	
blown	about	destroyed		
blown	apart	destroyed		
blown	away	impressed		
blown	off	ignored		
blown	out	extinguished		
blown	up	inflated	destroyed	
blows	away	impresses		
blows	off	ignores		
blows	out	extinguishes		
blows	up	inflates	destroys	
blurt	out	yell		
blurted	out	yelled		
blurting	out	yelling		
blurts	out	yells		
board	up	close		
boarded	up	closed		
boarding	up	closing		
bogged	down	weighted		
bogging	down	weighing		
bogs	down	weighs		
boil	away	bubble		
boil	down to	conclude		
boil	up	bubble		
