Word,AdjectiveOrderID,ComparisonType,Quantifier,IsQualitative,IsClassifying,CommonlyPrecededWithAnd,WorksInAttributivePosition,WorksInPredicativePosition,HasDiminutiveSuffix,IsProper,Compliments,MustUseMoreMost,AdjectiveIntensifierID
flashier,-1,Comparative,--,null,null,null,null,null,false,false,,null,-1
nonguidable,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
tricuspidate,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
abrupt,-1,Absolute,--,true,false,null,true,true,false,false,,true,-1
inflatable,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
undrunk,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
clanless,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
blameworthy,-1,Absolute,--,true,false,null,true,true,false,false,,true,-1
cryptogrammatic,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unstrewed,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
venose,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
Thesmophorian,-1,Absolute,--,null,null,null,null,null,false,true,,null,-1
frenular,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
intravital,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
Hasidic,-1,Absolute,--,false,true,null,true,true,false,true,,false,-1
never-never,-1,Comparative,--,null,null,null,null,null,false,false,,null,-1
bracteal,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
unsubstituted,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
well-beaten,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
intervocalic,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
compassionate,-1,Absolute,--,true,false,null,true,true,false,false,,true,-1
well-beloved,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
forty-one,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
resurgent,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
grandiloquent,-1,Absolute,--,false,true,null,true,true,false,false,,false,-1
slatternly,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
areolate,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
quasi-adequate,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
Umbrian,-1,Absolute,--,null,null,null,null,null,false,true,,null,-1
antireforming,-1,Absolute,--,null,null,null,null,null,false,false,,null,-1
