Word	AdjectiveOrderID	ComparisonType	Quantifier	IsQualitative	IsClassifying	CommonlyPrecededWithAnd	WorksInAttributivePosition	WorksInPredicativePosition	HasDiminutiveSuffix	IsProper	Compliments	MustUseMoreMost	AdjectiveIntensifierID	howCommon	commonRank	baseForm
half	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	0.031334	289	--
belligerent	-1	Absolute	--	true	true	null	true	true	false	false		false	-1	1.18E-4	27609	belligerent
aplacental	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	placent
abrupt	-1	Absolute	--	true	false	null	true	true	false	false		true	-1	5.25E-4	11320	brupt
antitypic	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	type
bearable	-1	Absolute	--	true	false	null	true	true	false	false		true	-1	1.3E-4	26094	bear
spontaneous	-1	Absolute	--	true	false	null	true	false	false	false		true	-1	0.001086	6923	spontane
antitraditionalist	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	traditionalist
antilottery	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	lottery
approved	-1	Absolute	--	false	false	null	null	false	false	false		null	-1	0.005156	2070	pprov
drunk	-1	Absolute	--	true	false	null	true	true	false	false		false	-1	0.00242	3872	drunk
ammophilous	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	mmophil
beastliest	-1	Superlative	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	beastly
Ammonitish	-1	Absolute	--	null	null	null	null	null	true	true		null	-1	-1.0	-1	mmonit
bell-mouthed	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	bell-mouth
antihierarchic	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	hierarch
auriculate	-1	Absolute	--	null	null	null	null	null	false	false		null	-1	-1.0	-1	uriculate
anti-Polish	-1	Absolute	--	null	null	null	null	null	true	false		null	-1	-1.0	-1	-pol
solid	-1	Absolute	--	true	true	null	true	true	false	false		true	2	0.003854	2694	solid
arciform	-1	Absolute	--	false	true	null	true	true	false	false		false	-1	-1.0	-1	rciform
