Adverb,Verb,2GramCount
to,copper,46
not,rebuild,27
really,confused,61
equally,distributed,70
no,saint,56
not,enforce,106
not,emanate,27
as,site,37
always,sing,25
for,josh,70
as,silk,103
some,fashion,232
already,spoken,93
not,sink,50
by,size,152
as,breakfast,35
for,manipulating,58
to,shutter,42
for,alleviating,24
to,skid,69
to,skim,162
between,skin,29
not,skip,25
to,shuttle,127
basically,a,1359
no,x,103
earlier,survey,30
fully,utilized,32
to,slit,68
slowly,slid,36
to,slim,108
easily,slip,50
not,descend,24
to,sled,23
to,slot,24
quite,slow,25
to,wreck,164
not,transmit,32
not,stirred,48
to,comparing,43
usually,ignored,32
to,slap,456
by,noting,376
to,brace,246
to,salve,39
not,brain,47
highly,localized,54
not,begrudge,29
for,brand,33
personally,believe,173
by,merging,71
as,willy,30
to,tackle,1789
generally,acknowledged,82
for,sally,65
to,channel,547
to,slug,64
please,notify,23
but,canceled,29
some,exercise,112
ever,notice,140
not,compute,37
not,absolve,29
not,substitute,79
to,snip,68
for,stimulating,69
long-distance,service,122
to,snub,40
as,snow,180
never,guess,244
some,guest,23
gently,stroking,28
to,snap,766
not,assign,57
to,snag,278
but,letting,60
previously,sold,24
to,sole,26
as,solo,25
not,equate,64
also,assist,62
by,soil,72
slightly,sour,24
never,escape,76
increasingly,frustrated,101
as,minister,101
highly,diversified,26
really,sort,312
successfully,navigated,28
to,document,1397
to,quarrel,116
some,junk,29
really,jump,23
no,soap,40
recently,renamed,35
to,sock,65
not,wield,23
easily,spot,30
lightly,greased,394
by,summarizing,30
not,persuade,67
to,spur,544
to,span,110
to,spar,54
to,spit,385
seriously,injuring,24
for,spin,26
no,guide,31
eventually,destroy,23
already,tense,33
to,minute,57
for,glory,128
to,gloss,96
for,approving,71
not,interrupt,78
no,caption,131
to,snicker,30
to,clutter,39
generally,avoid,31
to,arguing,50
no,yield,38
not,conceal,83
to,catalog,115
ever,invited,30
to,tissue,51
as,baby,205
by,bach,38
already,back,78
as,border,27
not,evade,31
no,ball,28
also,assert,33
by,bank,97
for,band,72
as,star,84
also,assess,41
to,stab,270
no,bail,27
for,bait,105
for,apparel,34
for,concern,713
to,concert,43
for,reform,948
readily,concede,28
to,pension,53
not,deploy,27
now,raging,30
to,default,114
how,terrified,30
fully,exploit,37
to,roast,248
violently,coerced,23
not,explode,51
not,embrace,117
to,stun,99
also,explore,76
not,manipulate,25
for,bath,24
to,bash,224
to,stew,56
not,stir,120
to,ambush,132
not,generating,31
please,stay,414
for,stem,102
for,step,76
always,appreciated,66
to,base,983
to,trumpet,87
