Adverb,Adjective,2GramCount
all,downhill,94
second,biggest,117
not,blinking,31
all,confused,41
equally,distributed,70
large,cast-iron,30
some,northern,56
already,spoken,93
most,avid,52
slightly,wounded,38
really,thirsty,24
more,authoritarian,54
especially,painful,48
morally,repugnant,46
more,aerodynamic,43
loose,skin,64
never,touched,401
d,n,23
c,t,48
little,away,39
more,innocent,159
pretty,slim,55
too,boring,73
no,hard-and-fast,23
more,tolerable,81
least,slow,34
severely,obese,24
mentally,unstable,67
very,clumsy,31
very,prestigious,59
some,chronic,24
repeatedly,pointed,23
overwhelmingly,passed,44
even,trickier,26
very,salty,28
first,freshman,37
some,catholic,64
not,averse,92
soft,pastel,42
high,sales,24
most,north,58
culturally,conditioned,23
too,smug,26
more,temperate,69
somewhat,skeptical,42
very,faithful,27
previously,sold,24
right,just,47
new,solo,40
largely,unrecognized,28
any,jury,43
slightly,sour,24
new,stereo,31
too,romantic,28
cold,sore,44
now,devoted,29
large,nonstick,310
not,unrelated,72
very,good-looking,69
too,cramped,29
not,loyal,27
small,soft,23
more,concise,28
little,outside,46
light,flooded,39
more,receptive,277
most,arrogant,29
then,spun,83
slightly,reduced,56
most,eloquent,155
more,rigorous,385
already,tense,33
very,instrumental,45
long,minute,87
ever,larger,152
also,promising,25
highly,problematic,87
more,digestible,23
stepwise,multiple,88
no,moving,98
then,boiled,24
too,stringent,34
south,polar,58
early,seventeenth,97
most,unwelcome,24
more,amusing,47
almost,incomprehensible,54
relatively,powerless,32
perfectly,honest,134
some,hopeful,23
more,nimble,77
virtually,limitless,37
not,accidental,106
even,desirable,49
pretty,baby,57
right,back,8906
more,theatrical,31
last,fiscal,117
nearly,bald,37
open,star,58
how,current,35
any,legislative,54
some,underground,24
more,affluent,400
new,degree,46
most,nutritious,34
evil,incarnate,28
more,preoccupied,56
new,potential,54
never,backed,47
more,secluded,33
all,wired,25
new,interactive,55
no,factual,30
first,such,463
grossly,distorted,28
not,unrealistic,36
most,logical,132
too,curious,47
more,bass,29
new,base,86
almost,bare,30
grossly,negligent,24
late,medieval,182
just,astonishing,23
more,carefree,25
much,wiser,39
large,silver,50
more,humane,289
very,ineffective,23
some,detective,32
large,suburban,34
just,disgusting,26
not,overnight,25
then,walking,64
however,brief,29
very,witty,28
more,feminine,109
quite,unlike,153
doubly,sure,25
very,dicey,34
ever,sung,23
really,sunk,23
emotionally,attached,57
little,testy,33
frequently,noted,41
very,fragrant,27
not,brave,26
somewhat,arbitrary,45
not,conventional,30
more,pedestrian,46
then,bent,98
not,achievable,31
already,burdened,31
even,occasional,27
second,best,275
hugely,influential,25
largely,untapped,31
more,pragmatic,223
racially,biased,41
more,humble,99
very,windy,49
not,overweight,48
big,sandy,77
fairly,sophisticated,66
more,distressed,28
very,hurtful,45
more,virulent,104
some,provocative,32
far,upstream,28
no,facial,45
truly,novel,25
little,queasy,49
just,wishful,34
too,facile,23
best,supporting,514
too,severe,126
both,point,31
much,looser,29
how,fortunate,147
not,swimming,28
relatively,complex,33
particularly,troublesome,68
ultimately,forced,39
more,ragged,25
most,unforgettable,52
how,annoying,23
little,miffed,25
more,charitable,51
large,circular,46
just,collect,36
more,self-sufficient,66
most,cogent,24
not,constructive,25
particularly,notable,40
more,introspective,54
long,curly,32
most,abundant,324
quite,ordinary,52
very,informal,46
most,informed,27
long,counter,38
barely,legible,44
home,attendant,32
little,bastard,130
no,redeeming,35
some,external,88
most,dominant,177
new,commercial,158
some,bias,25
not,centered,32
most,brutal,178
most,informative,47
barely,distinguishable,40
morally,permissible,24
new,surgical,44
just,jealous,104
back,upright,23
first,patent,33
all,relevant,253
most,photogenic,26
not,synonymous,96
most,noble,82
not,definitive,64
all,affirmative,24
some,unforeseen,43
east,german,779
potentially,suicidal,31
how,corporate,30
too,keen,77
more,evident,510
very,divided,53
very,blue,72
very,heterogeneous,24
more,imperative,37
also,doubled,47
most,blatant,82
no,air-conditioning,40
severely,malnourished,27
such,lofty,33
more,prosperous,285
just,retired,71
now,refer,35
never,supposed,89
not,silly,34
new,socialist,40
too,tame,42
too,tall,250
some,petty,27
nearly,choking,24
new,instructional,44
still,sleeping,185
constitutionally,required,38
also,singled,25
no,tail,34
more,cohesive,83
increasingly,secular,29
very,elite,26
virtually,complete,26
well,hydrated,41
morally,reprehensible,54
maybe,sometime,36
particularly,memorable,41
still,fragile,35
virtually,unlimited,80
often,painted,45
more,ornate,28
earlier,ruling,30
already,fallen,134
quickly,abandoned,45
seemingly,bottomless,23
first,big-league,31
first,transcontinental,31
great,boon,43
critically,injured,112
technically,feasible,82
some,bold,37
quite,healthy,24
second,bomb,57
due,both,38
big,boss,94
such,kind,33
very,selfish,73
not,stolen,34
just,further,27
not,abstinent,24
only,twenty-eight,26
both,former,82
some,formal,47
too,trusting,55
more,entertaining,141
just,continuing,40
new,compact,52
any,resulting,42
some,unspecified,59
most,breathtaking,39
still,attending,25
similarly,sized,61
each,workday,28
any,appreciable,51
both,adult,35
very,noisy,83
more,deliberate,95
some,colorful,31
more,likable,53
still,mourning,37
some,drunken,25
some,electronic,35
