Base Word,Words in the Dictionary
gulae,ungulae
glasswork,glassworks + glassworker
german,germanium + germanite + germanize + germanous + pre-German + German + un-German + Pan-German + non-German
germinal,nongerminal + subgerminal + germinally
geisha,geishas
gynophory,gynophoric
governableness,ungovernableness
govern,governance + governing + governor + governed + governorship + government + governability + regovern + overgovern + supergovern + misgovern + governable + governmental
gainly,ungainly + ungainly
glenoid,subglenoid
gular,regularness + angularity + regular + regularity + regularization + regularize + regular + ungular + angular + intergular + subgular + regularly
glaswegian,Glaswegian
gyral,intergyral
general solu,general solution
graduate,undergraduateship + nongraduate + undergraduate + nonundergraduate + graduator + supergraduate + postgraduate + graduating + nonundergraduate + graduated
gramme,programme + programme
gloomy,gloomiest + ungloomy + overgloomy + gloomier
gratified,ungratified
glucide,glucidic
grief,griefless
glycogene,glycogenic
groom,grooming + groomer + groomish
geriatry,geriatrics + geriatric + geriatric
grammaty,grammaticality + grammaticalness + hypergrammatical + grammatical + grammatically
galvanise,galvanised + galvanising
gamma radi,gamma radiation
gainsay,gainsaid + gainsaying
ghostly,ghostliest + unghostly + ghostlier
glimpsed,unglimpsed
gray eminent,gray eminence
gynomonoecy,gynomonoecious
graduating,ungraduating
gyrostate,gyrostatic
grazed,ungrazed
germinally,subgerminally
guess,guesser + guessable
grope,groping + groped + groping
generalizing,ungeneralizing
glykopexia,glykopectic + glykopexic
grandiloquent,grandiloquence
glaciated,unglaciated
glade,gladelike
glazier,glaziery
glossy,glossiness + glossiest + glossier + unglossy
gas st,gas station
gormandize,gormandized + gormandizing
grumpy,grumpier + grumpiest + ungrumpy
green revolu,green revolution
gold,goldenness + nongold + degold + gold-star + gold-foil + golden + nongold + gold-filled + gold-leaf + goldenly
gazing,ungazing
gole,hypergolic
golf,golfer + golfing
generalised,ungeneralised
glaci,glaciation
googly,googlies
gregorian,Gregorian
grieving,ungrieving + nongrieving
glucose,nonglucose + glucosic
garland,ungarland + garlandless + garlandlike
grapery,graperies
gesticulatively,overgesticulatively
gentlemanlike,ungentlemanlike
goldbrick,gold-brick
galleried,ungalleried
glyceme,hyperglycemic + glycemic
grating,ungrating
geometric sery,geometric series
goatfish,goatfishes
goniometry,goniometric + goniometrical
graphitized,ungraphitized
gob,goby + gobbling + gobbed + gobbing
god,nongod + undergod + subgod + godship + semigod + godling + godly + godless + godlike
glossa,paraglossa
glycaem,hyperglycaemic + glycaemic
galvanized,nongalvanized + ungalvanized
genial,overgeniality + ungenial + overgenial + postgenial
gratuitous,nongratuitous + ungratuitous
gol,hypergol
glowfly,glowflies
gravelly,gravelled + ungravelly
garnish,garnishment + garnisher + garnishee + garnisheed + overgarnish + garnishee + regarnish + undergarnish + garnishable
got,bigot + ingot + bigoted
good,goodness + goods + good-sized + goodish + good-neighbor + goodly + good-temperedly + good-humoredly + good-humouredly
goof,goofy + goofy + goofily
goy,goyish
grizzled,ungrizzled
gong,gonglike
gregary,gregariousness + gregarious
gibe,gibber + giber + gibing + gibed + gibbed + gibbous
generated,ungenerated
gumption,gumptionless
gracefully,nongracefully
georg,georgic + georgic
gerund,gerundive + gerundive
gastrohepate,gastrohepatic
gesturing,ungesturing
gullibil,gullibility
gather,gatherer + gathering + ingather + regather + upgather + pregather + gatherable
gamete,agamete + macrogamete + microgamete
gone,perigonium + perigone + gonium + gonion + goner + trigone + trigonous
governmental,nongovernmental + intergovernmental + semigovernmental + ungovernmental
globos,globosity
grotto,grottolike + grottoed
grandparent,grandparental
gluttonous,ungluttonous
gurge,gurging
ghanaian,Ghanaian
gandhian,Gandhian
gastrulate,gastrulation + gastrulating
glyphograph,glyphographic
geophysy,geophysical
graved,ungraved
gasoline,gasolinic + gasolineless
gasify,gasifier + gasifying + gasified
greased,ungreased
gasometry,gasometrical + gasometric
geomagneticy,geomagnetic
glosseme,glossemic
guatemalan,Guatemalan
generically,nongenerically + pseudogenerically + ungenerically + supergenerically
greenfish,greenfishes
gamogenety,gamogenetical
garrote,garrotter + garroted + garroting + garrotting
ghastly,ghastlier + ghastliest
groin,groining
grovelling,ungrovelling
germane,nongermane + ungermane + pre-Germanic + germanic + trans-Germanic + non-Germanic
goog,googly
gravitationally,nongravitationally
glucoside,glucosidic + glucosidal
gilbertian,Gilbertian
glandered,nonglandered
glutinos,glutinosity
graeco-roman,Graeco-Roman
gaussian,Gaussian
glossite,glossitic
gift,gift-wrapt + gifted + giftless
gadget,gadgety
grievousness,nongrievousness + overgrievousness
gratifiable,ungratifiable
goosefish,goosefishes
gallimaufry,gallimaufries
gnostic,Gnostic
gloze,glozing
grievously,nongrievously + overgrievously
gradually,ungradually
grivate,grivation
greengrocer,greengrocery + greengroceries
gnost,gnostic
greatcoat,greatcoated
genteel,pseudogenteel + ungenteel
glottology,glottological + glottologic
gastroentere,gastroenteric
gory,gorier + goriest
gated,ungated
geograph,geographical + geographically
galaxia,galactic + extragalactic
gainer,pregainer
gore,goring + goring + gored + gory + gorily
getatable,getatability
guttersnipe,guttersnipish
glycosure,glycosuric
guise,disguiser + disguise + disguised + guising + disguise + disguising + guised + disguisable
gaiety,supergaiety + gaieties
gravel,graveling + gravelling + graveled + gravelish + gravelly
gynecology,gynecological + gynecologic
geophyte,geophytic
glint,aglint
glutenous,nonglutenous
gingiv,gingivitis
glaucescent,glaucescence
gum,subgum + gummosis + gummy + gummite + degum + gummed + gumming + gummous + gummy + gumly + gumless + gumlike + gummed + gummy
galactia,hypergalactia
graven,ungraven + nongraven
germinatively,regerminatively
gun,guns + gunny + gunnery + gunnies + gunning + gunner + supergun + gunnership + gun for + guns + guns + gunned + gunless
gnawed,ungnawed
generously,overgenerously + supergenerously + quasi-generously + ungenerously
gyrectomy,gyrectomies
grayfish,grayfishes
gutter per,gutter press
gut,guttation + midgut + gutty + gutter + guttering + guttling + degut + gutting + gutted + gutter + gutless + gutlike
granolith,granolithic
