Word    ConjunctionType
whene'er    Subordinate Conjunction
forasmuch as    Subordinate Conjunction
whensoever    Subordinate Conjunction
when    Subordinate Conjunction
without    Subordinate Conjunction
even if    Subordinate Conjunction
where's    Subordinate Conjunction
the first time    Subordinate Conjunction
whenas    Subordinate Conjunction
afore    Subordinate Conjunction
because    Subordinate Conjunction
whereas    Subordinate Conjunction
if    Subordinate Conjunction
considering    Subordinate Conjunction
an    Coordinating
now that    Subordinate Conjunction
saving    Subordinate Conjunction
as    Subordinate Conjunction
forasmuch    Subordinate Conjunction
howsoever    Coordinating
except    Subordinate Conjunction
If    Subordinate Conjunction
forwhy    Subordinate Conjunction
as if    Subordinate Conjunction
providing    Subordinate Conjunction
nevertheless    Coordinating
save    Subordinate Conjunction
whithersoever    Correlative Conjunction
immediately    Subordinate Conjunction
whereupon    Subordinate Conjunction
howbeit    Subordinate Conjunction
seeing    Subordinate Conjunction
unless    Subordinate Conjunction
whereunto    Subordinate Conjunction
moreover    Coordinating
ere    Subordinate Conjunction
just in case    Subordinate Conjunction
where    Subordinate Conjunction
after    Subordinate Conjunction
so    Coordinating
in case    Subordinate Conjunction
wherever    Subordinate Conjunction
though    Subordinate Conjunction
excepting    Subordinate Conjunction
whether or not    Subordinate Conjunction
howe'er    Coordinating
by the time    Subordinate Conjunction
tho    Subordinate Conjunction
ergo    Coordinating
ubi    Subordinate Conjunction
sith    Subordinate Conjunction
but    Coordinating
till    Subordinate Conjunction
before    Subordinate Conjunction
cos    Subordinate Conjunction
fore    Subordinate Conjunction
while    Subordinate Conjunction
sobeit    Subordinate Conjunction
that    Subordinate Conjunction
either    Correlative Conjunction
fer    Coordinating
whenever    Subordinate Conjunction
as soon as    Subordinate Conjunction
whether    Correlative Conjunction
than    Coordinating
whiles    Subordinate Conjunction
directly    Subordinate Conjunction
vel    Subordinate Conjunction
otherwise    Subordinate Conjunction
whither    Correlative Conjunction
only if    Subordinate Conjunction
like    Subordinate Conjunction
lest    Subordinate Conjunction
syne    Subordinate Conjunction
opuscule    Subordinate Conjunction
both    Preconjunction
et    Coordinating
once    Subordinate Conjunction
in the event that    Subordinate Conjunction
quoties    Subordinate Conjunction
therefore    Coordinating
nonetheless    Coordinating
since    Subordinate Conjunction
however    Coordinating
Ophiuchus    Subordinate Conjunction
whencesoever    Subordinate Conjunction
provided    Subordinate Conjunction
for    Coordinating
why    Subordinate Conjunction
where'er    Subordinate Conjunction
nor    Coordinating
and    Coordinating
now    Subordinate Conjunction
and/or    Coordinating
hence    Coordinating
or    Coordinating
notwithstanding    Subordinate Conjunction
every time    Subordinate Conjunction
wheresoever    Subordinate Conjunction
yet    Coordinating
inasmuch as    Subordinate Conjunction
whilst    Subordinate Conjunction
although    Subordinate Conjunction
wherethrough    Subordinate Conjunction
neither    Preconjunction
until    Subordinate Conjunction
whensoever    Subordinate Conjunction
even though    Subordinate Conjunction
albeit    Subordinate Conjunction
