Determiner,Noun,2GramCount
a,downhill,159
the,washroom,113
a,copper,337
a,distributor,193
the,sickness,279
the,ballet,452
the,rainbow,633
the,chromosphere,29
a,guerrilla,338
the,southland,84
the,blinking,159
the,validity,1884
the,sanctuaries,28
a,clip-on,27
the,liberties,104
the,deputy,1850
the,institutionalization,199
the,fulcrum,95
the,insanity,245
a,bullwhip,30
the,larder,58
a,saint,1012
a,ringer,62
the,invader,114
the,slowing,145
the,upsurge,84
an,asterisk,221
the,origami,31
a,ballad,149
the,liability,354
a,consolidation,81
the,sabotage,55
the,imposition,704
the,lifespan,140
the,site,13214
a,libertine,27
a,penalty,624
the,guise,845
the,equalizer,46
a,sine,69
a,manipulative,71
a,noose,191
a,silk,495
the,sill,389
the,silo,68
this,fashion,356
the,icing,217
the,silt,131
these,northern,41
the,cognoscenti,58
the,glove,1162
the,letters,3614
a,deafening,233
this,sink,47
an,attorney,2914
a,windrow,59
a,competency,73
the,incubation,92
the,borderline,160
a,size,962
a,bulletin,317
a,measurement,223
a,pittance,203
the,perineum,30
a,radiator,96
a,rip-off,80
the,competence,272
a,wounded,562
a,breakfast,554
a,ballot,371
the,intransigence,40
this,manipulation,40
the,counterinsurgency,94
an,instructor,680
the,stopwatch,67
the,yelling,111
a,shining,362
a,backseat,182
a,telltale,147
the,braille,244
the,authoritarian,395
an,uptown,58
the,co-op,281
the,laundry,1251
the,velodrome,23
the,boatswain,56
a,garret,28
the,shutter,367
the,alleviation,59
a,musicologist,27
the,impedance,24
a,raindrop,52
a,transducer,27
the,speedway,61
a,rodent,95
a,skit,103
the,shipment,249
a,skid,86
the,exclusivity,68
this,skin,53
a,skip,37
those,victories,44
a,shuttle,464
an,a,305
the,b,310
the,c,524
the,magnet,272
a,d,54
the,e,306
the,f,155
a,g,40
the,h,164
the,j,242
the,k,124
the,m,299
the,n,129
an,o,46
a,p,84
the,q,91
the,r,304
a,t,114
the,u,784
a,v,71
a,w,23
an,x,38
the,y,189
the,z,44
the,eccentricity,29
a,casket,142
an,away,35
the,calcium,255
the,dislocation,81
a,downer,99
the,ballpoint,33
the,munitions,59
the,survey,5927
an,innocent,1555
a,cricket,151
a,yuppie,75
an,acquisition,141
an,idealization,24
a,dominatrix,28
the,estrangement,35
the,cancellation,272
the,diligence,43
the,banging,99
a,criminologist,64
the,credenza,66
a,camping,170
a,tepee,59
a,magnum,51
the,jumping,115
a,co-ed,24
the,liturgy,606
a,glamour,73
the,merriment,38
a,slit,202
the,slip,353
a,refill,140
the,casualty,162
the,boring,176
a,comparative,480
a,descent,114
the,varnish,89
the,gulch,82
the,bedchamber,58
the,slew,35
the,deputies,362
the,sled,405
the,legalization,198
the,formalities,79
the,palimpsest,54
a,complainer,26
the,cacique,50
a,tweet,39
the,slop,41
a,slot,442
a,slob,118
the,tweed,61
the,stranger,1715
a,wreck,475
the,bygone,32
the,householder,32
the,pillbox,23
a,gully,96
the,woodshed,113
the,coalition,3382
the,grapheme,24
a,moveable,46
the,theology,401
an,entourage,188
a,shareholder,205
the,spartan,57
the,axes,92
a,scrabble,28
a,tweak,24
the,utterance,95
an,editing,108
the,condescension,39
an,edition,108
the,drilling,315
the,siemens,51
the,evening,9489
the,axle,174
the,slam,90
the,slap,176
the,slat,28
the,slaw,25
the,slab,236
the,slag,48
the,cashew,25
the,resourcefulness,30
a,desecration,28
the,shingle,48
a,passel,98
the,pointer,183
a,stirrup,28
the,passer,93
a,wastebasket,75
an,axis,131
the,peasantry,224
the,redshift,70
these,properties,137
these,freshmen,24
this,syndrome,108
this,notion,1283
a,brace,194
a,salvo,35
the,discontinuities,28
a,salve,73
a,mestizo,29
a,geriatric,67
this,brain,50
the,subcategories,48
a,casino,602
a,talent,744
the,casing,136
a,bigot,187
the,braid,95
the,sugarbush,41
the,chopsticks,36
the,psychotic,70
the,boxwood,35
this,brand,127
the,merging,148
the,terry,95
a,throwback,403
the,terra,120
the,irresponsibility,28
the,abductor,29
a,digression,31
the,brake,752
a,salon,196
a,garter,55
the,salts,69
a,gummy,33
a,ready-made,139
a,freshman,1483
the,hackles,54
a,tackle,194
the,romans,1052
a,salsa,67
the,smog,176
the,catholic,6345
the,terms,4339
the,legacies,135
the,weevil,70
a,spreading,139
the,sally,57
this,channel,56
the,floorboard,98
a,pastor,570
the,slur,29
the,slut,34
the,slug,154
a,slum,141
the,inventiveness,37
a,gumbo,31
the,presidio,508
this,salad,152
the,build-up,134
the,intonation,31
the,cortege,31
the,piracy,48
a,pastel,143
the,regolith,42
the,exercise,2551
the,bight,26
an,ambulance,1312
those,sales,117
the,lunacy,28
a,notice,516
an,estuary,44
the,north,20342
the,indentor,53
a,plural,63
the,contestation,25
a,sandbox,76
a,tug-of-war,73
the,substitute,229
a,mullah,23
a,snit,37
a,wrecking,71
a,heading,50
a,hormone,300
the,inauguration,643
a,snip,26
the,hegemony,191
the,searchlight,41
a,navigator,64
this,service,478
a,minyan,34
the,interruption,258
the,headlight,95
the,diffusion,325
the,snub,41
a,snug,168
a,cavalry,99
the,lacquer,33
this,snow,75
a,sandbar,84
a,midtown,129
a,smokescreen,80
the,longship,60
the,snot,33
a,snob,151
this,avenue,40
the,stimulation,228
the,clematis,23
the,condominiums,24
the,decoder,52
the,sandbag,34
the,width,823
the,bethel,37
this,friendship,65
the,sphincter,30
the,conditioner,33
the,smut,28
the,widow,1043
the,palisade,33
the,examination,892
the,transcendent,293
the,mullet,35
a,ministry,209
the,guess,82
this,guest,39
the,bunnies,24
a,receptacle,68
the,snap,369
a,faithful,371
a,snag,121
the,thirty-three,32
those,serving,68
a,viewfinder,60
the,necklace,454
the,enclosing,25
the,letting,26
the,sole,3372
the,bequest,47
this,solo,33
the,letterman,81
a,lariat,24
the,assist,40
the,soot,105
a,windstorm,49
a,shutout,75
this,song,1108
this,soil,58
the,person,15953
the,virginity,23
a,jury,2899
a,router,116
a,nomad,57
the,reunification,179
the,conversion,989
this,soul,41
this,soup,143
the,sour,350
a,racehorse,75
a,stereo,278
the,souk,47
this,romantic,100
the,benzene,30
a,sunburst,25
the,longitude,37
the,patrician,96
the,paschal,65
the,smokehouse,78
the,telly,91
a,sore,829
a,devotee,125
a,fleece,63
the,surrey,31
the,platelet,26
an,escape,833
a,factory,1174
a,marketing,1222
a,minister,968
a,geophysicist,45
this,sort,3934
the,normalization,128
the,whimsy,29
the,looney,25
a,dialysis,54
the,hustings,57
this,self-portrait,27
the,gauchos,41
the,memorization,35
the,effluent,148
the,peonies,34
a,document,1330
the,soda,266
a,juke,27
the,quarrel,116
the,disillusionment,63
a,junk,133
a,tabletop,129
the,soft,3885
the,backside,250
a,payback,65
this,scenario,908
the,sofa,2766
this,jump,23
a,soak,48
the,soap,614
an,analogy,440
a,londoner,24
a,sock,275
an,interaction,363
the,correlative,28
the,craving,129
the,steadfastness,28
the,dualism,62
the,greaser,26
a,terrace,186
a,spot,2852
the,nastiness,69
the,spoils,321
the,precedence,37
this,duality,61
a,tempo,37
the,boulevard,361
a,diocesan,39
those,injuries,76
the,orchard,501
an,outside,1313
the,leakage,105
the,twain,40
the,calling,281
the,correlation,1199
an,arraignment,37
a,courtship,68
a,smattering,431
the,solidity,96
a,backup,921
the,telemetry,43
the,monoculture,24
this,bible,35
the,spur,222
the,negativity,98
a,determinant,76
a,coping,170
an,eggplant,55
a,columbine,31
the,spam,97
the,span,447
a,spar,23
a,spat,65
a,workstation,59
a,drenching,28
a,copier,49
the,dominoes,51
the,deforestation,59
the,nameplate,44
the,headphone,26
these,journeys,27
the,avenger,59
a,looker,63
the,silica,45
the,copies,169
a,rosebush,36
the,facade,553
an,outsize,58
a,blooming,53
the,spit,180
the,highwaymen,26
a,joseph,24
the,spin,687
the,reticle,58
a,u-turn,199
the,campesino,32
the,preceptor,40
this,reception,29
the,woodsman,106
the,terrain,1280
a,marketer,69
the,spec,42
a,streetlight,88
the,holocaust,2648
the,indignation,45
the,readability,71
the,grooming,44
the,flywheel,63
this,complication,41
a,richness,71
a,tenth,531
a,module,79
a,guide,2372
the,attractiveness,191
this,tense,45
a,snotty,31
a,guillotine,62
a,bureaucrat,114
a,moneymaking,35
the,instrumental,282
the,affinities,26
the,biennial,82
a,commonality,69
the,minute,2515
these,boundaries,78
the,constituencies,57
an,ecstasy,42
the,guild,313
a,glory,51
the,gloss,80
a,guilt,80
the,supremacy,192
these,movies,368
a,kindergarten,243
the,optimization,68
the,sorority,57
the,hyoid,85
a,magpie,40
an,approving,61
the,gloom,705
the,treadmill,590
a,tenor,108
the,tenon,43
the,riskiness,24
the,politico,23
a,tenet,58
a,politics,302
the,interrupt,31
the,mailbag,24
a,multiple,614
the,wrath,530
the,mediastinum,54
the,captive,260
a,fiance,36
a,mayday,27
a,sectarian,78
a,surtax,52
the,caption,504
the,decentralization,83
the,carapace,83
the,ferocity,174
the,mucosa,81
a,carbine,27
a,derivative,159
the,relativism,38
a,relativist,28
a,twang,26
a,snicker,37
a,clutter,58
a,derivation,30
the,postscript,39
a,crevasse,60
a,globe,187
the,boiler,243
the,headman,75
a,consignment,54
the,relativity,60
this,exodus,32
the,chimeras,108
the,chevron,52
a,destroyer,108
the,neolithic,101
those,arguing,34
the,mailbox,540
the,erosion,556
the,yield,491
the,bedside,726
an,honesty,33
the,casbah,24
the,weathermen,38
the,survivor,276
the,secretariat,91
the,adaptability,57
the,spectrometer,36
the,industrialist,33
an,ellipse,37
the,sinfulness,41
the,galilee,88
a,catalog,515
the,analogies,62
the,seventeenth,1039
the,disconnection,37
a,bimbo,44
the,viciousness,43
the,lettering,105
the,texas,5571
the,weatherman,112
a,sighting,94
the,hopeful,182
an,ultimatum,364
the,trappings,492
the,enjoyment,374
a,bobsled,28
the,opener,369
a,consumption,76
a,mastodon,26
the,bilge,85
this,omission,88
the,accidental,288
the,billy,151
the,tissue,884
the,suffrage,56
a,mongrel,36
this,minority,47
the,geiger,33
the,trumpeter,55
a,kindergartner,45
a,desirable,421
the,cattlemen,44
an,ultrasound,223
the,nimbus,27
the,silverware,137
the,cobwebs,109
the,doomsday,68
an,eyewitness,348
the,substrate,225
the,stationmaster,32
a,baby,9744
the,prognosis,358
an,adrenaline,102
the,bach,104
this,back,359
the,reindeer,132
this,willingness,54
a,vernacular,43
a,theatrical,389
this,border,117
the,vehicle,3730
the,fiscal,1353
the,baba,30
the,babe,134
the,streaming,60
a,cloister,26
the,gusto,42
a,widower,262
the,shelling,193
the,hullabaloo,38
a,backpacking,31
the,chimneys,87
a,ball,3621
the,balm,69
the,simulacrum,117
a,bale,91
the,wholeness,82
the,shallowness,54
the,kabuki,54
the,dahlia,23
the,bake,71
a,doberman,33
a,polyp,39
the,bank,11026
the,pediatrician,221
the,stag,151
the,band,6816
a,bane,32
the,bang,100
the,star,6047
the,bans,55
a,stab,381
this,current,473
these,assets,153
the,baht,46
this,legislative,80
a,gerbil,27
those,bags,76
this,underground,56
the,assent,45
the,harshness,156
the,donkey,376
this,diary,79
this,affluent,31
the,nuptials,64
the,degree,5998
the,bail,154
this,bait,23
a,handstand,27
the,milliner,28
an,apparel,32
the,millisecond,25
the,fluency,36
the,wishing,41
the,huddle,271
the,editorship,61
a,regiment,116
an,impairment,71
the,concern,1869
this,concert,91
the,legislation,2666
the,forgiveness,115
the,hierarchies,39
the,precipice,232
the,wildlife,639
an,extradition,63
the,chancellor,390
this,concept,1027
a,sports,1654
this,potential,370
the,polis,69
the,polio,124
the,decadent,91
a,reform,447
a,talker,127
an,apollo,42
the,pension,804
the,aegis,323
a,backer,47
the,polka,74
the,conceit,76
the,regrowth,35
the,cognac,53
a,listener,260
the,default,513
the,hatchet,129
the,witch,719
a,satin,128
the,paucity,317
the,peanut,330
the,spraying,95
a,resolution,2256
a,receding,69
a,roast,187
the,dollhouse,74
the,collier,29
an,embrace,229
the,stun,57
a,stub,37
a,stud,162
the,hepatitis,95
a,keepsake,73
this,hypothesis,658
a,heaviness,42
a,lineman,89
the,suck,24
this,theater,119
the,repetition,411
the,surroundings,396
these,hypotheses,138
the,briar,39
the,brian,78
the,linemen,73
the,typist,26
a,semicircle,181
the,biweekly,23
the,lead-in,47
a,bath,1290
a,plateful,49
a,spouse,775
a,speculator,30
a,bass,440
the,bash,42
this,stew,29
the,bingo,74
the,stir,72
a,roach,80
a,binge,125
a,send-off,29
the,gynecologist,54
an,ambush,373
a,stat,31
a,stay,448
the,barn,2921
the,stem,1241
a,step,5963
the,bark,629
a,base,1897
the,worktable,68
a,trumpet,239
the,inexperience,44
the,barb,71
the,bard,161
the,informality,42
a,stop,3184
the,erector,42
the,centenary,117
a,pinpoint,60
the,michigan,965
a,footpath,50
a,delight,334
the,delusion,135
this,generation,766
a,communitarian,31
a,silver,2431
the,otolaryngology,59
a,detective,852
the,peshmerga,29
the,half-moon,41
the,opacity,65
the,handout,37
a,compassion,33
the,tactic,291
this,suburban,59
these,opportunities,239
the,sauna,132
a,synthesizer,57
a,marriage,2369
the,bigotry,40
the,pools,267
the,ridiculousness,27
this,tradition,531
the,assistance,1212
a,robot,778
this,venue,37
the,detection,438
the,sauce,1332
a,clamshell,34
this,farming,25
a,salvage,72
the,sanity,41
the,pooch,58
these,russian,32
the,fastening,30
an,ontology,29
a,bypass,124
the,balboa,32
an,artwork,106
an,icebreaker,34
this,walking,32
the,mayhem,196
this,brief,634
a,suit,2010
the,bride,2681
a,watchmaker,29
a,satyr,24
a,chronology,144
a,brick,1089
the,handlebars,257
the,headscarf,69
a,feminine,252
the,queasiness,24
the,bribe,55
the,flneur,49
the,hourglass,97
the,bedclothes,131
the,tightrope,115
the,cantina,40
the,upturn,33
a,reassurance,31
the,gymnasium,308
a,formula,913
the,suds,52
the,auxiliary,199
the,venom,245
a,theatre,65
a,robin,98
the,wunderkind,37
the,derision,34
the,biota,57
this,feminist,25
an,eternity,519
an,ecology,45
the,throwaway,24
a,speedboat,71
the,surf,928
the,hybridization,23
a,sumo,41
the,sump,49
a,membership,323
a,keystone,60
the,collins,64
the,bishop,1926
a,dramatization,36
a,sulk,24
the,compote,31
the,impressionist,100
the,brine,132
a,compost,168
the,brink,2208
a,vitality,33
the,briny,43
the,sung,23
an,undergrad,44
the,illogic,27
the,endgame,110
an,ember,40
a,witch-hunt,45
a,sandal,27
the,dedication,526
a,worship,76
the,chestnut,144
the,analyst,441
a,pointing,37
the,ocular,33
the,psychology,827
these,atrocities,54
the,wolves,723
a,pirate,422
a,pastry,385
the,notch,158
the,vilification,23
a,dissident,162
the,swab,51
the,swag,57
a,swan,210
a,program,7695
the,jockeying,37
the,fingerboard,23
the,okapi,50
the,ecclesiology,26
a,fiasco,137
these,notes,187
the,remoteness,81
the,shopkeeper,169
a,swap,105
the,swat,108
the,sway,174
a,mandarin,36
those,brave,70
the,brass,854
the,admiralty,150
the,tesla,38
a,brash,132
an,abortionist,45
the,twinkling,103
a,wineglass,33
the,vegan,24
a,prizefighter,42
the,reintegration,53
a,preamble,45
a,brawl,190
the,headmistress,98
the,brawn,32
a,samba,29
the,methodologies,66
a,walkman,102
an,arbitrary,404
the,thoroughness,60
a,gorilla,199
this,conventional,54
the,apogee,58
the,reflex,68
the,control,6166
a,pedestrian,321
the,theatrics,46
the,emcee,109
an,introduction,1040
this,belt,38
this,bell,26
the,cereal,264
the,bend,613
an,abandonment,66
the,flipper,23
a,bent,181
the,know-nothing,24
the,neckline,115
the,astrodome,369
a,counteroffensive,31
a,commodities,51
a,reaching,25
the,beth,39
the,tiramisu,26
the,beta,181
those,best,43
the,tamarind,32
the,cuticle,139
a,bevy,313
the,statist,48
an,archivist,43
the,dermatologist,65
the,servant,491
the,flybridge,36
a,thousand,7423
the,waxing,93
the,twenty-seven,33
the,berm,72
these,icons,31
the,berg,59
the,survivability,31
a,station,663
a,pragmatic,443
the,numeral,50
the,postponement,84
the,midland,51
the,arbitration,137
a,sponge,466
a,potpourri,72
an,imperialist,59
the,swim,277
a,swig,256
a,typing,34
