Word	InterjectionTypeID	howCommon	commonRank
aneuch	-1	-1.0	-1
ahchoo	-1	-1.0	-1
away	-1	0.040769	217
beauty	-1	0.004459	2380
alleluia	-1	2.6E-5	57230
bags	-1	0.002313	4008
balls	-1	0.001613	5238
abracadabra	-1	1.3E-5	78154
bah	-1	2.8E-5	55366
all hail	-1	-1.0	-1
beaut	-1	1.5E-5	72997
auf Wiedersehen	-1	-1.0	-1
begorra	-1	-1.0	-1
adsum	-1	-1.0	-1
adios	-1	1.3E-5	77595
ave	-1	1.4E-4	24996
bejabers	-1	-1.0	-1
attaboy	-1	-1.0	-1
bar	-1	0.008426	1292
adieu	-1	4.0E-5	47439
aloha	-1	-1.0	-1
action stations	-1	-1.0	-1
begone	-1	1.8E-5	67271
benedicite	-1	-1.0	-1
action	-1	0.023251	420
arrivederci	-1	1.5E-5	74987
aha	-1	0.002718	3547
ballocks	-1	-1.0	-1
avaunt	-1	-1.0	-1
ahem	-1	5.2E-5	41840
avast	-1	-1.0	-1
ah	-1	0.010618	1010
barley	-1	6.17E-4	10209
alannah	-1	-1.0	-1
au revoir	-1	-1.0	-1
alas	-1	6.89E-4	9450
begad	-1	-1.0	-1
aw	-1	1.7E-4	22404
banzai	-1	1.1E-5	84112
alack	-1	-1.0	-1
amen	-1	3.42E-4	14819
ay	-1	2.65E-4	17316
attention	-1	0.014398	714
ach-y-fi	-1	-1.0	-1
ahoy	-1	2.9E-5	54500
aikona	-1	-1.0	-1
aroint thee	-1	-1.0	-1
