Word	HasAdverbForm	howCommon	commonRank
through	null	0.088464	113
anear	null	-1.0	-1
till	null	0.00587	1830
adown	null	-1.0	-1
before	null	0.092882	110
about	null	0.207403	54
atween	null	-1.0	-1
ben	null	0.003341	3041
during	null	0.04631	192
inside	null	0.015056	691
upon	null	0.024631	385
beyond	null	0.012447	836
down	null	0.101035	96
without	null	0.04859	183
via	null	0.00489	2178
amongst	null	0.00479	2219
bar	null	0.008426	1292
anent	null	-1.0	-1
above	null	0.027092	341
besides	null	0.002749	3526
beside	null	0.006095	1777
from	null	0.435118	28
afore	null	1.08E-4	28822
near	null	0.018403	551
up	null	0.194772	55
per	null	0.014245	723
between	null	0.095396	103
aslant	null	1.1E-5	84986
beneath	null	0.005457	1966
including	null	0.025383	368
below	null	0.015083	689
in	null	1.98159	5
like	null	0.161876	66
considering	null	0.004319	2450
past	null	0.027614	332
abaft	null	-1.0	-1
towards	null	0.030093	298
onto	null	0.006532	1667
plus	null	0.008334	1307
regarding	null	0.002597	3677
underneath	null	0.001989	4494
as	null	0.544812	17
toward	null	0.001337	6017
at	null	0.503134	19
anenst	null	-1.0	-1
among	null	0.024057	403
outside	null	0.022233	445
following	null	0.028396	322
a la	null	-1.0	-1
aboard	null	0.001016	7254
except	null	0.007519	1439
athwart	null	1.6E-5	71161
since	null	0.05284	168
behind	null	0.024934	379
minus	null	0.001955	4553
against	null	0.059142	155
aboon	null	-1.0	-1
according	null	1.17E-4	27703
for	null	0.896176	11
around	null	0.04765	185
out	null	0.163459	64
worth	null	0.013021	801
across	null	0.026517	348
into	null	0.172001	60
along	null	0.020344	488
by	null	0.539856	18
of	null	3.09533	1
unlike	null	0.004915	2163
throughout	null	0.01305	797
after	null	0.123252	87
astraddle	null	-1.0	-1
amidst	null	5.22E-4	11366
on	null	0.761993	12
aff	null	3.5E-5	50444
over	null	0.13918	74
a	null	2.263141	4
alongside	null	0.003466	2939
bating	null	-1.0	-1
within	null	0.048689	181
barring	null	1.82E-4	21589
aged	null	0.004948	2150
amid	null	0.001153	6663
astride	null	1.56E-4	23543
despite	null	0.015354	672
off	null	0.073827	128
versus	null	0.001035	7160
with	null	0.686082	16
concerning	null	0.003573	2874
round	null	0.033714	269
atop	null	1.47E-4	24306
until	null	0.042913	203
to	null	2.693976	3
under	null	0.064217	144
