Preposition,Verb,2GramCount
a,besieged,34
a,copper,337
to,rebuild,2698
of,unreason,24
to,electrify,36
but,confused,30
a,bullwhip,30
of,distributed,49
of,saint,143
a,dislocated,85
to,relocate,741
to,enforce,2906
to,emanate,117
to,sabotage,315
to,reconnoiter,51
per,site,32
at,sing,23
a,noose,191
with,josh,112
on,silk,64
on,fashion,91
of,silt,103
as,spoken,71
in,glove,65
a,sink,369
a,windrow,59
as,size,63
a,bulletin,317
up,breakfast,26
of,manipulating,126
by,ballot,28
for,consolidating,25
to,caramelize,36
to,skew,57
to,expunge,70
to,pillage,27
a,shutter,67
in,alleviating,76
a,skid,86
of,skim,57
into,skin,31
to,skip,788
by,shuttle,30
wanting,a,351
a,civilizing,32
to,x,24
to,fester,108
to,launder,112
to,sightsee,23
with,survey,30
a,cricket,151
in,awed,23
to,solidify,271
to,refine,571
a,slit,202
as,slim,57
to,slip,1736
to,refill,199
of,varnish,74
to,descend,498
a,slew,808
of,sled,23
a,tweet,39
to,wreak,156
of,slot,70
into,slow,39
to,slog,51
a,wreck,475
a,gully,96
to,transmit,724
by,comparing,948
of,scrabble,46
to,tweak,230
of,ignored,29
to,slam,296
a,slap,657
to,slay,153
a,slab,385
to,fabricate,188
a,shingle,87
of,noting,25
a,brace,194
a,salve,73
of,brain,999
to,braid,67
with,localized,30
to,begrudge,34
in,brand,45
of,believe,31
of,merging,76
to,willy,32
to,brake,121
a,garter,55
at,tackle,35
but,acknowledged,87
at,sally,63
from,channel,30
to,slur,25
a,slug,208
a,slum,141
to,strangle,321
to,wrest,291
to,notify,616
of,canceled,29
to,exercise,3132
to,cajole,78
a,notice,516
a,rutted,91
to,compute,348
to,absolve,86
but,substitute,34
a,snip,26
a,stimulating,120
in,service,1068
a,snub,48
a,snug,168
of,lacquer,31
with,snow,611
a,sandbag,44
a,widow,867
to,guess,1281
in,guest,43
of,snap,59
to,assign,788
a,snag,121
for,letting,629
but,sold,50
de,sole,35
of,eavesdropping,29
to,solo,49
to,equate,354
to,assist,4403
in,soot,31
