Word	Plurality	Gender	PronounCase	Type	howCommon	commonRank
theirs	Plural	neuter Possesive	Personal	0.001089	6910
none	Singular/Plural	Neuter N/A	Indefinite	0.008881	1218
ye	Singular/Plural	Neuter Nominative/Accusative	Personal	0.001789	4862
him	Singular	Masculine Accusative	Personal	0.173627	59
his	Singular/Plural	Masculine Possesive	Personal	0.45623	26
ours	Plural	neuter Possesive	Personal	0.001809	4827
her	Singular	Feminine Possesive/Accusative	Personal	0.344082	35
whoever	Singular/Plural	Neuter N/A	Interrogative/Relative	0.001552	5401
me	Singular	Neuter Accusative	Personal	0.146284	71
yourself	Singular/Plural	Neuter Reflexive	Personal	0.011307	939
nobody	Singular	Neuter N/A	Indefinite	0.006554	1657
they	Plural	Neuter Nominative	Personal	0.456099	27
us	Plural	Neuter Accusative	Personal	0.082279	118
you	Singular/Plural	Neuter Nominative/Accusative	Personal	0.7319	13
everyone	Singular	Neuter N/A	Indefinite	0.014033	731
myself	Singular	Neuter Reflexive	Personal	0.013196	783
nothing	Singular	Neuter N/A	Indefinite	0.035842	254
plenty	Plural	Neuter N/A	Indefinite	0.005174	2065
them	Plural	Neuter Accusative	Personal	0.182468	56
it	Singular	Neuter Nominative/Accusative	Expletive	1.146425	7
somebody	Singular	Neuter N/A	Indefinite	0.007698	1406
something	Singular	Neuter N/A	Indefinite	0.05519	161
she	Singular	Feminine Nominative	Personal	0.400132	29
himself	Singular	Masculine Accusative	Personal	0.032704	275
itself	Singular	Neuter Nominative/Accusative	Expletive	0.02495	378
anyone	Singular	Neuter N/A	Indefinite	0.015737	658
herself	Singular	Feminine Reflexive	Personal	0.018095	563
no-one	Singular	Neuter N/A	Indefinite	-1.0	-1
who	Singular/Plural	Neuter N/A	Interrogative/Relative	0.217411	52
everybody	Singular	Neuter N/A	Indefinite	0.006402	1687
other	Singular	Neuter N/A	Indefinite	0.149558	70
anybody	Singular	Neuter N/A	Indefinite	0.00521	2055
ourselves	Plural	neuter Reflexive	Personal	0.004751	2234
hers	Plural	Feminine Possesive	Personal	0.002657	3612
we	Plural	Neuter Nominative	Personal	0.377518	32
anything	Singular	Neuter N/A	Indefinite	0.029799	300
themselves	Plural	Neuter Nominative	Personal	0.024912	380
whom	Singular/Plural	Neuter N/A	Interrogative/Relative	0.013601	765
ane	Singular	Neuter N/A	Indefinite	1.3E-5	78889
everything	Singular	Neuter N/A	Indefinite	0.01965	511
mine	Singular	Neuter Possesive	Personal	0.006674	1624
one	Singular	Neuter N/A	Indefinite	0.306611	37
i	Singular	Neuter Nominative	Personal	0.952572	10
baith	Plural	Neuter N/A	Indefinite	-1.0	-1
aught	Singular	Neuter N/A	Indefinite	6.5E-5	37385
allyou	Plural	Neuter Nominative	Personal	-1.0	-1
someone	Singular	Neuter N/A	Indefinite	0.019656	510
there	Singular	Neuter N/A	Relative	0.345085	34
he	Singular	Masculine Nominative	Personal	0.716942	14
yours	Singular/Plural	Neuter Possesive	Personal	0.004462	2375
