Word	QuantifierID	howCommon	commonRank
nine	2	0.014369	719
no	1	0.220898	50
some	1	0.180312	57
hundred	2	0.020105	495
fifty	2	0.00903	1205
fourscore	2	-1.0	-1
ninety	2	0.004404	2414
several	1	0.025255	369
seven	2	0.018256	555
dozen	2	0.002869	3406
three	2	0.083977	116
two	2	0.164262	63
thirteen	2	0.002286	4036
eight	2	0.018212	559
billion	2	0.005001	2129
divers	1	3.74E-4	14020
four	2	0.048532	184
ane	2	1.3E-5	78889
eighty	2	0.004023	2603
ten	2	0.021332	463
five	2	0.042864	204
trillion	2	1.28E-4	26313
forty	2	0.006978	1552
twenty	2	0.016457	620
fifteen	2	0.005638	1904
sixty	2	0.004578	2321
six	2	0.031965	282
nineteen	2	0.005003	2127
seventy	2	0.003085	3227
one	2	0.306611	37
eighteen	2	0.003127	3201
umpteen	2	7.3E-5	35510
many	1	0.094339	107
fourteen	2	0.002856	3419
zillion	2	-1.0	-1
million	2	0.025831	363
quadrillion	2	-1.0	-1
seventeen	2	0.001891	4668
twelve	2	0.006919	1565
threescore	2	-1.0	-1
eleven	2	0.003986	2615
much	1	0.096951	100
sundry	1	1.94E-4	20849
thousand	2	0.010914	988
thirty	2	0.009716	1105
