Word,VerbType,Transivity,Tense,Aspect,Person,Phrasal,IsInfinitive
mistreat,--,Transitive,--,--,N/A,No,null
undermining,--,Transitive,--,--,N/A,No,null
collocate,--,Transitive,--,--,N/A,No,null
bejeweling,--,Transitive,--,--,N/A,No,null
salary,--,tran=np+ditran=np+pphr(with+np),--,--,N/A,No,null
naturalized,--,--,Past,--,N/A,No,null
pretend,--,Ambitransitive,--,--,N/A,No,null
redischarged,--,--,Past,--,N/A,No,null
chelating,--,--,--,--,N/A,No,null
slop around,--,Intransitive,--,--,N/A,NotSeperable,null
nicotinizing,--,Transitive,--,--,N/A,No,null
Teutonized,--,Ambitransitive,Past,--,N/A,No,null
unhypnotizing,--,Transitive,--,--,N/A,No,null
tallow,--,Transitive,--,--,N/A,No,null
reman,--,Transitive,--,--,N/A,No,null
put forth,--,Transitive,--,--,N/A,NotSeperable,null
snaffle,--,Transitive,--,--,N/A,No,null
rutting,--,--,--,--,N/A,No,null
fagot,--,Transitive,--,--,N/A,No,null
Afrikanerize,--,Transitive,--,--,N/A,No,null
remap,--,Transitive,--,--,N/A,No,null
flit,--,--,--,--,N/A,No,null
outsatisfied,--,Transitive,Past,--,N/A,No,null
unaccustom,--,Transitive,--,--,N/A,No,null
clamp down,--,Intransitive,--,--,N/A,NotSeperable,null
underbridging,--,Transitive,--,--,N/A,No,null
aquaplane,--,Intransitive,--,--,N/A,No,null
result,--,Intransitive,--,--,N/A,No,null
relevying,--,Transitive,--,--,N/A,No,null
bogue,--,Intransitive,--,--,N/A,No,null
evaporate,--,tran=np,--,--,N/A,No,null
flocculated,--,--,Past,--,N/A,No,null
reindoctrinating,--,Transitive,--,--,N/A,No,null
ratoon,--,tran=np,--,--,N/A,No,null
flip,--,Intransitive,--,--,N/A,No,null
imbedded,--,Transitive,Past,--,N/A,No,null
nibble,--,Intransitive,--,--,N/A,No,null
barricade,--,Transitive,--,--,N/A,No,null
depredating,--,--,--,--,N/A,No,null
resume,--,Transitive,--,--,N/A,No,null
a,--,--,--,--,N/A,No,null
deliquesce,--,Intransitive,--,--,N/A,No,null
