Word	VerbType	Transivity	Tense	Aspect	Person	Phrasal	IsInfinitive	howCommon	commonRank	baseForm
mistreat	--	Transitive	--	--	N/A	No	null	1.1E-5	85107	mistreat	false
undermining	--	Transitive	Present	--	N/A	No	null	3.86E-4	13700	mine	false
collocate	--	Transitive	--	--	N/A	No	null	1.4E-5	75851	collocate	false
bejeweling	--	Transitive	--	--	N/A	No	null	-1.0	-1	bejewe	false
salary	--	tran=np+ditran=np+pphr(with+np)	--	--	N/A	No	null	0.002102	4305	salary	false
naturalized	--	--	Past	--	N/A	No	null	5.2E-5	41933	naturale	false
pretend	--	Ambitransitive	--	--	N/A	No	null	0.001358	5955	pretend	false
redischarged	--	--	Past	--	N/A	No	null	-1.0	-1	redischarg	false
chelating	--	--	Present	--	N/A	No	null	-1.0	-1	chelate	false
slop around	--	Intransitive	--	--	N/A	NotSeperable	null	-1.0	-1	slop	false
nicotinizing	--	Transitive	Present	--	N/A	No	null	-1.0	-1	nicotine	false
Teutonized	--	Ambitransitive	Past	--	N/A	No	null	-1.0	-1	teutone	false
unhypnotizing	--	Transitive	Present	--	N/A	No	null	-1.0	-1	unhypnote	false
tallow	--	Transitive	--	--	N/A	No	null	4.9E-5	42646	tallow	false
reman	--	Transitive	--	--	N/A	No	null	-1.0	-1	rem	false
put forth	--	Transitive	--	--	N/A	NotSeperable	null	-1.0	-1	put	false
snaffle	--	Transitive	--	--	N/A	No	null	1.6E-5	71461	snaffle	false
rutting	--	--	Present	--	N/A	No	null	1.9E-5	65893	rut	false
fagot	--	Transitive	--	--	N/A	No	null	-1.0	-1	fagot	false
Afrikanerize	--	Transitive	--	--	N/A	No	null	-1.0	-1	afrikanere	false
remap	--	Transitive	--	--	N/A	No	null	-1.0	-1	map	false
flit	--	--	--	--	N/A	No	null	4.9E-5	42887	flit	false
outsatisfied	--	Transitive	Past	--	N/A	No	null	-1.0	-1	outsatisfy	false
unaccustom	--	Transitive	--	--	N/A	No	null	-1.0	-1	accustom	false
clamp down	--	Intransitive	--	--	N/A	NotSeperable	null	-1.0	-1	clamp down	false
underbridging	--	Transitive	Present	--	N/A	No	null	-1.0	-1	underbridg	false
aquaplane	--	Intransitive	--	--	N/A	No	null	-1.0	-1	aquaplane	false
result	--	Intransitive	--	--	N/A	No	null	0.023251	419	result	false
relevying	--	Transitive	Present	--	N/A	No	null	-1.0	-1	relevie	false
bogue	--	Intransitive	--	--	N/A	No	null	-1.0	-1	bogue	false
evaporate	--	tran=np	--	--	N/A	No	null	1.49E-4	24137	evaporate	false
flocculated	--	--	Past	--	N/A	No	null	-1.0	-1	flocculate	false
reindoctrinating	--	Transitive	Present	--	N/A	No	null	-1.0	-1	indoctrinate	false
ratoon	--	tran=np	--	--	N/A	No	null	-1.0	-1	ratoon	false
flip	--	Intransitive	--	--	N/A	No	null	2.41E-4	18329	flip	false
imbedded	--	Transitive	Past	--	N/A	No	null	1.7E-5	68896	bed	false
nibble	--	Intransitive	--	--	N/A	No	null	8.9E-5	31892	nibble	false
barricade	--	Transitive	--	--	N/A	No	null	1.06E-4	29215	barricade	false
depredating	--	--	Present	--	N/A	No	null	-1.0	-1	depredate	false
resume	--	Transitive	--	--	N/A	No	null	7.74E-4	8727	resume	false
a	--	--	--	--	N/A	No	null	2.263141	4	a	false
deliquesce	--	Intransitive	--	--	N/A	No	null	-1.0	-1	deliquesce	false
garland	--	Transitive	--	--	N/A	No	null	3.44E-4	14778	garland	false
deuterate	--	tran=np	--	--	N/A	No	null	-1.0	-1	deuterate	false
posture	--	Intransitive	--	--	N/A	No	null	5.7E-4	10764	posture	false
bespangling	--	Transitive	--	--	N/A	No	null	-1.0	-1	bespang	false
visualizing	--	--	Present	--	N/A	No	null	3.1E-5	53796	visual	false
throw about	--	Transitive	--	--	N/A	NotSeperable	null	-1.0	-1	throw	false
gripping	--	--	Present	--	N/A	No	null	4.62E-4	12244	grip	false
tholed	--	Transitive	Past	--	N/A	No	null	-1.0	-1	thole	false
rehung	--	Transitive	--	--	N/A	No	null	-1.0	-1	hang	false
emblematize	--	Transitive	--	--	N/A	No	null	-1.0	-1	emblemate	false
automating	--	--	Present	--	N/A	No	null	2.4E-5	59569	automate	false
x	--	Transitive	--	--	N/A	No	null	0.007093	1522	x	false
hobnobbing	--	--	Present	--	N/A	No	null	-1.0	-1	hobnob	false
barricado	--	Transitive	--	--	N/A	No	null	-1.0	-1	barricado	false
creesh	--	Transitive	--	--	N/A	No	null	-1.0	-1	creesh	false
illumed	--	Transitive	Past	--	N/A	No	null	-1.0	-1	illume	false
outskirmish	--	Transitive	--	--	N/A	No	null	-1.0	-1	outskirm	false
unfringing	--	Transitive	Present	--	N/A	No	null	-1.0	-1	unfring	false
put up	--	Intransitive	--	--	N/A	Seperable	null	-1.0	-1	put up	false
fornicating	--	Intransitive	Present	--	N/A	No	null	-1.0	-1	fornicate	false
overlegislating	--	--	Present	--	N/A	No	null	-1.0	-1	legislate	false
retransmitted	--	Transitive	Past	--	N/A	No	null	-1.0	-1	retransmit	false
undulate	--	--	--	--	N/A	No	null	-1.0	-1	undulate	false
rechristen	--	Transitive	--	--	N/A	No	null	-1.0	-1	rechr	false
reproduce	--	Intransitive	--	--	N/A	No	null	6.59E-4	9772	produce	false
huddle	--	Intransitive	--	--	N/A	No	null	1.24E-4	26801	huddle	false
formicate	--	Intransitive	--	--	N/A	No	null	-1.0	-1	formicate	false
roughcasting	--	--	Present	--	N/A	No	null	-1.0	-1	roughcast	false
disperse	--	Transitive	--	--	N/A	No	null	2.7E-4	17092	disperse	false
wainscoting	--	--	Present	--	N/A	No	null	-1.0	-1	wainscote	false
glace	--	tran=np	--	--	N/A	No	null	2.0E-5	64602	glace	false
wheelabrate	--	Transitive	--	--	N/A	No	null	-1.0	-1	wheelabrate	false
systemise	--	Transitive	--	--	N/A	No	null	-1.0	-1	systemise	false
pillaged	--	--	Past	--	N/A	No	null	5.6E-5	40490	pil	false
flitch	--	Transitive	--	--	N/A	No	null	-1.0	-1	flitch	false
enquiring	--	Ambitransitive	Present	--	N/A	No	null	2.61E-4	17502	enquir	false
spruce up	--	--	--	--	N/A	NotSeperable	null	-1.0	-1	spruce up	false
retransmitting	--	Transitive	Present	--	N/A	No	null	-1.0	-1	retransmit	false
intersprinkle	--	Transitive	--	--	N/A	No	null	-1.0	-1	intersprinkle	false
peduncular	--	--	--	--	N/A	No	null	-1.0	-1	peduncular	false
nibbed	--	--	Past	--	N/A	No	null	-1.0	-1	nib	false
predestroy	--	Transitive	--	--	N/A	No	null	-1.0	-1	destroy	false
jounce	--	--	--	--	N/A	No	null	-1.0	-1	jounce	false
chunder	--	Intransitive	--	--	N/A	No	null	-1.0	-1	chund	false
slaying	--	--	Present	--	N/A	No	null	7.6E-5	34590	slaye	false
palpitated	--	Intransitive	Past	--	N/A	No	null	-1.0	-1	palpitate	false
raging	--	--	Present	--	N/A	No	null	4.17E-4	13069	rage	false
embody	--	Ditransitive	--	--	N/A	No	null	2.69E-4	17155	embody	false
superextol	--	Transitive	--	--	N/A	No	null	-1.0	-1	extol	false
welter	--	Intransitive	--	--	N/A	No	null	1.36E-4	25451	welt	false
motive	--	Transitive	--	--	N/A	No	null	0.001096	6879	mote	false
resubstantiating	--	Transitive	Present	--	N/A	No	null	-1.0	-1	resubstantiat	false
prestrengthen	--	Transitive	--	--	N/A	No	null	-1.0	-1	prestrength	false
philtering	--	--	Present	--	N/A	No	null	-1.0	-1	philtere	false
flited	--	--	Past	--	N/A	No	null	-1.0	-1	flite	false
wheelbarrow	--	Transitive	--	--	N/A	No	null	2.27E-4	18972	wheelbarrow	false
betted	--	--	Past	--	N/A	No	null	-1.0	-1	bet	false
outdaring	--	Transitive	Present	--	N/A	No	null	-1.0	-1	outdare	false
homologizing	--	--	Present	--	N/A	No	null	-1.0	-1	homology	false
bayonetting	--	--	Present	--	N/A	No	null	-1.0	-1	bayonet	false
collocated	--	Transitive	Past	--	N/A	No	null	-1.0	-1	collocate	false
better	--	Transitive	--	--	N/A	No	null	0.037848	231	bet	false
jellify	--	tran=np	--	--	N/A	No	null	-1.0	-1	jellify	false
refold	--	tran=np	--	--	N/A	No	null	-1.0	-1	fold	false
puncture	--	Transitive	--	--	N/A	No	null	1.88E-4	21157	puncture	false
scorifying	--	Transitive	Present	--	N/A	No	null	-1.0	-1	scorifie	false
interpollinated	--	--	Past	--	N/A	No	null	-1.0	-1	interpollinate	false
shake off	--	Transitive	--	--	N/A	Seperable	null	-1.0	-1	shake off	false
coact	--	Ambitransitive	--	--	N/A	No	null	-1.0	-1	act	false
run across	--	Intransitive	--	--	N/A	NotSeperable	null	-1.0	-1	run across	false
reinclude	--	Transitive	--	--	N/A	No	null	-1.0	-1	include	false
unbuilt	--	Transitive	--	--	N/A	No	null	1.1E-5	84427	build	false
tripping	--	--	Present	--	N/A	No	null	1.7E-4	22434	trip	false
outcuring	--	Transitive	Present	--	N/A	No	null	-1.0	-1	outcure	false
dummy	--	--	--	--	N/A	No	null	4.77E-4	12017	dummy	false
discharged	--	--	Past	--	N/A	No	null	9.25E-4	7745	discharg	false
equiponderated	--	Transitive	Past	--	N/A	No	null	-1.0	-1	equiponderate	false
disvaluing	--	--	Present	--	N/A	No	null	-1.0	-1	disvalu	false
flop	--	Intransitive	--	--	N/A	No	null	2.18E-4	19462	flop	false
licencing	--	Transitive	Present	--	N/A	No	null	1.7E-5	70538	licenc	false
clew up	--	--	--	--	N/A	NotSeperable	null	-1.0	-1	clew	false
overelaborate	--	Transitive	--	--	N/A	No	null	-1.0	-1	elaborate	false
flow	--	Transitive	--	--	N/A	No	null	0.005517	1953	flow	false
hyperrealize	--	Transitive	--	--	N/A	No	null	-1.0	-1	real	false
misspell	--	tran=np	--	--	N/A	No	null	-1.0	-1	misspell	false
premiate	--	Transitive	--	--	N/A	No	null	-1.0	-1	premiate	false
sharecropping	--	Ambitransitive	Present	--	N/A	No	null	-1.0	-1	sharecrop	false
deep-drew	--	Transitive	--	--	N/A	No	null	-1.0	-1	draw	false
flog	--	Intransitive	--	--	N/A	No	null	7.7E-5	34504	flog	false
preattuned	--	Transitive	Past	--	N/A	No	null	-1.0	-1	attune	false
circumambulated	--	Ambitransitive	Past	--	N/A	No	null	-1.0	-1	circumambulate	false
reform	--	Transitive	--	--	N/A	No	null	0.006182	1746	form	false
remit	--	tran=np+ditran=np,np+ditran=np+pphr(to+np)	--	--	N/A	No	null	4.47E-4	12498	remit	false
mythified	--	Transitive	Past	--	N/A	No	null	-1.0	-1	mythify	false
ensue	--	Intransitive	--	--	N/A	No	null	1.46E-4	24399	ensue	false
administrate	--	tran=np	--	--	N/A	No	null	-1.0	-1	administrate	false
overattenuate	--	Transitive	--	--	N/A	No	null	-1.0	-1	attenuate	false
coach	--	Transitive	--	--	N/A	No	null	0.00358	2870	coach	false
remix	--	tran=np+tran=np;part(in)+tran=pphr(with+np)+ditran=np+pphr(for+np);datmvt+ditran=np+pphr(with+np)	--	--	N/A	No	null	7.2E-5	35579	mix	false
obelised	--	Transitive	Past	--	N/A	No	null	-1.0	-1	obelise	false
woman	--	Transitive	--	--	N/A	No	null	0.024425	392	wom	false
pellet	--	Transitive	--	--	N/A	No	null	2.38E-4	18498	pellet	false
podsolize	--	Ambitransitive	--	--	N/A	No	null	-1.0	-1	podsole	false
roquet	--	--	--	--	N/A	No	null	-1.0	-1	roquet	false
zugzwang	--	Transitive	--	--	N/A	No	null	-1.0	-1	zugzwang	false
instantiate	--	Transitive	--	--	N/A	No	null	1.9E-5	65449	instantiate	false
tin-plating	--	Transitive	Present	--	N/A	No	null	-1.0	-1	tin	false
buckler	--	Transitive	--	--	N/A	No	null	2.0E-5	63994	buckl	false
predesign	--	Transitive	--	--	N/A	No	null	-1.0	-1	design	false
put on	--	Transitive	--	--	N/A	Seperable	null	-1.0	-1	put on	false
surname	--	Transitive	--	--	N/A	No	null	3.37E-4	14961	surname	false
magnetized	--	Transitive	Past	--	N/A	No	null	2.3E-5	60509	magnete	false
prestruggled	--	Intransitive	Past	--	N/A	No	null	-1.0	-1	prestruggl	false
unpedestaling	--	Transitive	--	--	N/A	No	null	-1.0	-1	unpedesta	false
avail	--	tran=pphr(against+np);nopass+ditran=np+pphr(of+np);nopass+ditran=np,np	--	--	N/A	No	null	3.77E-4	13933	avail	false
preaverred	--	Transitive	Past	--	N/A	No	null	-1.0	-1	preav	false
impoverish	--	Transitive	--	--	N/A	No	null	2.1E-5	63118	impove	false
vaccinating	--	--	Present	--	N/A	No	null	-1.0	-1	vaccinate	false
overdiscouraged	--	Transitive	Past	--	N/A	No	null	-1.0	-1	overdiscour	false
nibbing	--	--	Present	--	N/A	No	null	-1.0	-1	nib	false
contemporizing	--	--	Present	--	N/A	No	null	-1.0	-1	contempore	false
misspend	--	tran=np	--	--	N/A	No	null	-1.0	-1	misspend	false
preentail	--	Transitive	--	--	N/A	No	null	-1.0	-1	entail	false
reequip	--	Transitive	--	--	N/A	No	null	-1.0	-1	equip	false
resurrect	--	Transitive	--	--	N/A	No	null	8.5E-5	32710	resurrect	false
incuse	--	--	--	--	N/A	No	null	-1.0	-1	incuse	false
illegitimatise	--	Transitive	--	--	N/A	No	null	-1.0	-1	illegitimatise	false
preconcert	--	Transitive	--	--	N/A	No	null	-1.0	-1	concert	false
reoperating	--	Transitive	Present	--	N/A	No	null	-1.0	-1	operate	false
smudging	--	--	Present	--	N/A	No	null	1.5E-5	74992	smudg	false
grudged	--	--	Past	--	N/A	No	null	1.7E-5	70009	grudg	false
outcourt	--	Transitive	--	--	N/A	No	null	-1.0	-1	outcourt	false
quack	--	Intransitive	--	--	N/A	No	null	1.79E-4	21849	quack	false
befalling	--	--	--	--	N/A	No	null	-1.0	-1	befal	false
botanised	--	Intransitive	Past	--	N/A	No	null	-1.0	-1	botanise	false
deseam	--	Transitive	--	--	N/A	No	null	-1.0	-1	deseam	false
emblematise	--	Transitive	--	--	N/A	No	null	-1.0	-1	emblematise	false
friction-sawing	--	Transitive	Present	--	N/A	No	null	-1.0	-1	friction-sawe	false
ceasing	--	--	Present	--	N/A	No	null	1.42E-4	24833	ceas	false
timed	--	--	Past	--	N/A	No	null	4.28E-4	12861	time	false
trichinising	--	Transitive	Present	--	N/A	No	null	-1.0	-1	trichinise	false
burglarise	--	Ambitransitive	--	--	N/A	No	null	-1.0	-1	burglarise	false
chapeled	--	--	Past	--	N/A	No	null	-1.0	-1	chapele	false
empaneled	--	Transitive	Past	--	N/A	No	null	-1.0	-1	empanele	false
devising	--	--	Present	--	N/A	No	null	3.57E-4	14438	devise	false
pretempt	--	Transitive	--	--	N/A	No	null	-1.0	-1	pretempt	false
mystifying	--	Transitive	Present	--	N/A	No	null	3.7E-5	49466	mystifie	false
underjudged	--	Transitive	Past	--	N/A	No	null	-1.0	-1	underjudg	false
bename	--	--	--	--	N/A	No	null	-1.0	-1	bename	false
circumstanced	--	--	Past	--	N/A	No	null	-1.0	-1	circumstanc	false
prelimitate	--	Transitive	--	--	N/A	No	null	-1.0	-1	prelimitate	false
mapped	--	--	Past	--	N/A	No	null	3.67E-4	14169	map	false
convolving	--	Intransitive	Present	--	N/A	No	null	-1.0	-1	convolv	false
preconcern	--	Transitive	--	--	N/A	No	null	-1.0	-1	concern	false
aluminised	--	Transitive	Past	--	N/A	No	null	-1.0	-1	aluminise	false
outbringing	--	Transitive	Present	--	N/A	No	null	-1.0	-1	outbring	false
promulge	--	Transitive	--	--	N/A	No	null	-1.0	-1	promulge	false
desilverized	--	Transitive	Past	--	N/A	No	null	-1.0	-1	desilvere	false
became	--	--	--	--	N/A	No	null	0.023475	412	become	false
carburetted	--	Transitive	Past	--	N/A	No	null	-1.0	-1	carburet	false
fatted	--	--	Past	--	N/A	No	null	-1.0	-1	fat	false
spliced	--	--	Past	--	N/A	No	null	6.9E-5	36253	splice	false
retaping	--	Transitive	Present	--	N/A	No	null	-1.0	-1	retape	false
